MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUEL,FUELCONSUMPTION_COMB,CO2EMISSIONS
2014,AUDI,R8,TWO-SEATER,4.2,8,M6,Z,21.2,407
2014,AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18.8,354
2014,AUDI,R8,TWO-SEATER,5.2,10,M6,Z,21.1,409
2014,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,17.6,336
2014,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,21.2,407
2014,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,18.8,354
2014,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,21.1,409
2014,AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Z,15.3,306
2014,AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,15.2,308
2014,AUDI,RS 7,MID-SIZE,4,8,AS8,Z,15.3,290
2014,AUDI,S4,COMPACT,3,6,A7,Z,13.2,262
2014,AUDI,S4,COMPACT,3,6,M6,Z,14.6,285
2014,AUDI,S5,SUBCOMPACT,3,6,A7,Z,13.2,262
2014,AUDI,S5,SUBCOMPACT,3,6,M6,Z,14.6,285
2014,AUDI,S5 CABRIOLET,SUBCOMPACT,3,6,A7,Z,13.3,267
2014,AUDI,S6,MID-SIZE,4,8,A7,Z,14.2,281
2014,AUDI,S7,MID-SIZE,4,8,A7,Z,14.2,281
2014,AUDI,S8,MID-SIZE,4,8,AS8,Z,15.4,297
2014,AUDI,SQ5,SUV - SMALL,3,6,AS8,Z,14.9,292
2014,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,10.4,209
2014,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,10.4,209
2014,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,11.5,237
2014,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,11.5,237
2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,4,8,AS8,Z,15.4,297
2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,6,12,AS8,Z,18.8,356
2014,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4,8,AS8,Z,16.8,320
2014,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6,12,AS8,Z,20,380
2014,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4,8,AS8,Z,16.7,322
2014,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6,12,AS8,Z,20,380
2014,BENTLEY,FLYING SPUR,MID-SIZE,6,12,AS8,Z,20,380
2014,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,437
2014,BMW,320i,COMPACT,2,4,A8,Z,10,193
2014,BMW,320i,COMPACT,2,4,M6,Z,10.4,200
2014,BMW,320i xDRIVE,COMPACT,2,4,A8,Z,10.2,202
2014,BMW,328d xDRIVE,COMPACT,2,4,A8,D,7.6,181
2014,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,D,7.6,181
2014,BMW,328i,COMPACT,2,4,A8,Z,10,193
2014,BMW,328i,COMPACT,2,4,M6,Z,10.4,200
2014,BMW,328i xDRIVE,COMPACT,2,4,A8,Z,10.6,209
2014,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,A8,Z,10.6,209
2014,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,Z,10.6,209
2014,BMW,335i,COMPACT,3,6,A8,Z,11.4,221
2014,BMW,335i,COMPACT,3,6,M6,Z,11.8,230
2014,BMW,335i xDRIVE,COMPACT,3,6,A8,Z,11.7,228
2014,BMW,335i xDRIVE,COMPACT,3,6,M6,Z,11.9,237
2014,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,11.9,232
2014,BMW,428i COUPE,COMPACT,2,4,A8,Z,10,193
2014,BMW,428i COUPE,COMPACT,2,4,M6,Z,10.4,200
2014,BMW,428i xDRIVE COUPE,COMPACT,2,4,A8,Z,10.6,209
2014,BMW,435i COUPE,COMPACT,3,6,A8,Z,11.4,221
2014,BMW,435i COUPE,COMPACT,3,6,M6,Z,11.8,230
2014,BMW,435i xDRIVE COUPE,COMPACT,3,6,A8,Z,11.7,228
2014,BMW,435i xDRIVE COUPE,COMPACT,3,6,M6,Z,11.9,237
2014,BMW,528i,MID-SIZE,2,4,A8,Z,10.2,202
2014,BMW,528i xDRIVE,MID-SIZE,2,4,A8,Z,10.6,209
2014,BMW,535d xDRIVE,MID-SIZE,3,6,A8,D,9.2,213
2014,BMW,535i xDRIVE,MID-SIZE,3,6,A8,Z,11.9,232
2014,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,12.5,246
2014,BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,14.4,281
2014,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,15,292
2014,BMW,640i xDRIVE GRAN COUPE,COMPACT,3,6,A8,Z,11.9,232
2014,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,15,292
2014,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,14.4,281
2014,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,15,292
2014,BMW,740Li xDRIVE,FULL-SIZE,3,6,A8,Z,12.5,246
2014,BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,15,292
2014,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,15,292
2014,BMW,760Li,FULL-SIZE,6,12,A8,Z,18.7,356
2014,BMW,ACTIVEHYBRID 3,COMPACT,3,6,A8,Z,9.2,191
2014,BMW,ACTIVEHYBRID 5,MID-SIZE,3,6,A8,Z,10.5,214
2014,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3,6,A8,Z,10.5,212
2014,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,15,292
2014,BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,15,292
2014,BMW,M5,MID-SIZE,4.4,8,AM7,Z,17.3,338
2014,BMW,M5,MID-SIZE,4.4,8,M6,Z,16.2,317
2014,BMW,M6,COMPACT,4.4,8,AM7,Z,17.3,338
2014,BMW,M6,COMPACT,4.4,8,M6,Z,16.2,317
2014,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,338
2014,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.2,317
2014,BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,338
2014,BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.2,317
2014,BMW,X1 xDRIVE28i,SUV - SMALL,2,4,A8,Z,10.6,209
2014,BMW,X1 xDRIVE35i,SUV - SMALL,3,6,A6,Z,13.2,260
2014,BMW,X3 xDRIVE28i,SUV - SMALL,2,4,A8,Z,11.2,230
2014,BMW,X3 xDRIVE35i,SUV - SMALL,3,6,A8,Z,12.6,253
2014,BMW,X5 xDRIVE35i,SUV - STANDARD,3,6,A8,Z,12.9,255
2014,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.3,320
2014,BMW,X6 M,SUV - STANDARD,4.4,8,A6,Z,18.1,370
2014,BMW,X6 xDRIVE35i,SUV - STANDARD,3,6,A8,Z,13.6,274
2014,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.4,324
2014,BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,A8,Z,10.8,209
2014,BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,M6,Z,10.4,200
2014,BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,AM7,Z,13.7,278
2014,BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,M6,Z,12.7,253
2014,BMW,Z4 sDRIVE35is,TWO-SEATER,3,6,AM7,Z,13.7,278
2014,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.3,283
2014,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,290
2014,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,196
2014,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,10.2,212
2014,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7,264
2014,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,18.4,250
2014,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,13.7,264
2014,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,19.4,264
2014,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,189
2014,BUICK,REGAL,MID-SIZE,2,4,AS6,Z,11.5,228
2014,BUICK,REGAL,MID-SIZE,2,4,M6,Z,11.6,225
2014,BUICK,REGAL AWD,MID-SIZE,2,4,AS6,Z,12.3,246
2014,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,189
2014,BUICK,VERANO,COMPACT,2,4,AS6,Z,11.5,228
2014,BUICK,VERANO,COMPACT,2,4,M6,Z,11.6,225
2014,BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.3,218
2014,CADILLAC,ATS,COMPACT,2,4,AS6,Z,11.3,221
2014,CADILLAC,ATS,COMPACT,2,4,M6,Z,12.1,235
2014,CADILLAC,ATS,COMPACT,2.5,4,AS6,X,10.5,207
2014,CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.8,251
2014,CADILLAC,ATS AWD,COMPACT,2,4,AS6,Z,11.8,232
2014,CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,13.1,260
2014,CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,X,13.2,258
2014,CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,X,13.3,262
2014,CADILLAC,CTS SEDAN,MID-SIZE,2,4,AS6,Z,11.9,232
2014,CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS8,X,12.9,248
2014,CADILLAC,CTS SEDAN AWD,MID-SIZE,2,4,AS6,Z,12.6,248
2014,CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS6,X,13.1,260
2014,CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,Z,15.1,294
2014,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3,6,AS6,X,12.7,253
2014,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,260
2014,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3,6,AS6,X,12.8,255
2014,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,262
2014,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,AS6,Z,19.7,382
2014,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,M6,Z,16.7,340
2014,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,AS6,Z,19.7,382
2014,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,M6,Z,16.7,340
2014,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS6,Z,19.7,382
2014,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M6,Z,16.7,340
2014,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Z,17,338
2014,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,E,23.3,322
2014,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Z,18.8,377
2014,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,E,25.7,354
2014,CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,14.3,283
2014,CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,14.8,294
2014,CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.6,262
2014,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,14,271
2014,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,14.8,290
2014,CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,13.2,258
2014,CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,14.2,269
2014,CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,X,12.7,242
2014,CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,Z,15.3,294
2014,CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,15,292
2014,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,19.7,382
2014,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Z,16.7,340
2014,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,14.9,276
2014,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,13.7,258
2014,CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,9.1,179
2014,CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,X,9.1,179
2014,CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,10.5,202
2014,CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,X,9.5,189
2014,CHEVROLET,CRUZE DIESEL,MID-SIZE,2,4,AS6,D,8.7,192
2014,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,X,9.1,177
2014,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,X,8.4,163
2014,CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,10.5,209
2014,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,13.9,276
2014,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,E,18.8,259
2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,11.5,230
2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,X,14.8,290
2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,E,19.8,272
2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,X,17.1,347
2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,X,18,366
2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,E,23.5,334
2014,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,380
2014,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,E,23.7,344
2014,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.6,380
2014,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,E,23.9,344
2014,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,18.3,380
2014,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,E,25.3,362
2014,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6,380
2014,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,E,23.9,344
2014,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.3,380
2014,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,E,25.3,362
2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.1,414
2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,A6,X,21.9,432
2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,A6,E,30,411
2014,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,419
2014,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,A6,X,22.1,435
2014,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,A6,E,30.2,413
2014,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,11.3,221
2014,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,12.6,244
2014,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,E,16.7,229
2014,CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,AS6,X,10,200
2014,CHEVROLET,MALIBU,MID-SIZE,2,4,AS6,Z,11.5,228
2014,CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,9.3,184
2014,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,AS6,X,12.2,244
2014,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,M6,X,11.8,235
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,271
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,E,18.9,269
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,292
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.5,270
2014,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.3,324
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.2,290
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20,285
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,299
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,277
2014,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.4,329
2014,CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,9.1,184
2014,CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,8.5,173
2014,CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,9.6,191
2014,CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,8.9,182
2014,CHEVROLET,SONIC RS,COMPACT,1.4,4,AS6,X,9.4,191
2014,CHEVROLET,SONIC RS,COMPACT,1.4,4,M6,X,8.8,184
2014,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,AS6,X,9.1,184
2014,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,M6,X,8.5,172
2014,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,AS6,X,9.6,191
2014,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,M5,X,8.9,182
2014,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,AS6,X,9.4,191
2014,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,M6,X,8.8,184
2014,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,AV,X,7.7,159
2014,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,M5,X,7.6,159
2014,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,16,317
2014,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,E,21.5,294
2014,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,X,16,317
2014,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,294
2014,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,X,16,317
2014,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,E,21.5,294
2014,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,X,16,317
2014,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,294
2014,CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,A6,X,14.3,283
2014,CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,290
2014,CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,X,9.4,193
2014,CHEVROLET,TRAX,SUV - SMALL,1.4,4,M6,X,9.1,186
2014,CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,AS6,X,10,207
2014,CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.4,237
2014,CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A4,X,11.7,232
2014,CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A6,X,12.9,246
2014,CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,X,12.5,242
2014,CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,E,17,230
2014,CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A4,X,11.2,225
2014,CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A6,X,12,230
2014,CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,X,12.5,242
2014,CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,E,17,230
2014,CHRYSLER,300 (MDS),FULL-SIZE,5.7,8,A5,X,15.8,294
2014,CHRYSLER,300 AWD,FULL-SIZE,3.6,6,A8,X,12.8,251
2014,CHRYSLER,300 AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.1,308
2014,CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,251
2014,CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,E,17.3,237
2014,CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,X,12.4,237
2014,CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,E,16.8,222
2014,CHRYSLER,300 SRT (MDS),FULL-SIZE,6.4,8,A5,Z,16.7,317
2014,CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,X,14.1,276
2014,CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,E,19.7,269
2014,DODGE,AVENGER,MID-SIZE,2.4,4,A4,X,11.2,225
2014,DODGE,AVENGER,MID-SIZE,2.4,4,A6,X,12,230
2014,DODGE,AVENGER FFV,MID-SIZE,3.6,6,A6,X,12.5,242
2014,DODGE,AVENGER FFV,MID-SIZE,3.6,6,A6,E,17,230
2014,DODGE,CHALLENGER,MID-SIZE,3.6,6,A5,X,13.2,258
2014,DODGE,CHALLENGER,MID-SIZE,5.7,8,M6,X,15.6,301
2014,DODGE,CHALLENGER (MDS),MID-SIZE,5.7,8,A5,X,15.8,294
2014,DODGE,CHALLENGER SRT,MID-SIZE,6.4,8,M6,Z,16.8,320
2014,DODGE,CHALLENGER SRT (MDS),MID-SIZE,6.4,8,A5,Z,16.7,317
2014,DODGE,CHARGER,FULL-SIZE,3.6,6,A5,X,13.2,258
2014,DODGE,CHARGER,FULL-SIZE,3.6,6,A8,X,12.4,237
2014,DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,A5,X,15.8,294
2014,DODGE,CHARGER AWD,FULL-SIZE,3.6,6,A8,X,12.8,251
2014,DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.1,308
2014,DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,251
2014,DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,E,17.3,237
2014,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,X,13.2,258
2014,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,E,18.3,251
2014,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,X,12.3,235
